,while,mod,",",char,*,readint,>,begin,.,until,integer,<,writechar,then,exit,end,readln,div,-,integer-value,<=,writereal,module,;,do,|=,const,),readchar,if,:=,=,writeln,procedure,real-value,writeint,:,name,else,call,+,var,(,real,/,readreal,loop,>=
module-decl,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
module-heading,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declarations,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,4,,,,,,
const-decl,,,,,,,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,6,,,,,,,,6,,,,,,
const-list,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,7,,,,8,,,,,,
var-decl,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,9,,,,,,
var-list,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,11,,,,,,,,,,
var-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
name-list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
more-names,,,15,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,16,,,,,,,,,,,
data-type,,,,19,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,
procedure-decl,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,
procedure-heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,
stmt-list,23,,,,,23,,23,,24,,,23,,23,24,23,,,,,23,,23,,,,,23,23,,,23,,,23,,23,24,23,,,,,,23,23,
statement,29,,,,,26,,33,,,,,27,,31,,26,,,,,27,,34,,,,,26,28,,,27,,,27,,25,,32,,,,,,26,30,
ass-stmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,
exp,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,36,,,36,,,,,36,,,,,
exp-prime,,,,,,,,,,,,,,,,,,,37,,,,,38,,,,38,,,,,,,,,,,,,37,,,,,,,
term,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,39,,,39,,,,,39,,,,,
term-prime,,40,,,40,,,,,,,,,,,,,40,41,,,,,41,,,,41,,,,,,,,,,,,,41,,,,40,,,
factor,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,43,,,43,,,,,42,,,,,
add-oper,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,
mull-oper,,48,,,46,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,
read-stmt,,,,,,50,,,,,,,,,,,53,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,51,,
write-stmt,,,,,,,,,,,,,56,,,,,,,,,55,,,,,,,,,,,57,,,54,,,,,,,,,,,,
write-list,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,58,,,58,,,,,,,,,,
more-write-value,,,59,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,
write-item,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,62,,,61,,,,,,,,,,
if-stmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
else-part,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,
while-stmt,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loop-stmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,
exit-stmt,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-stmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,
condition,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,70,,,70,,,,,,,,,,
relational-oper,,,,,,,75,,,,,73,,,,,,,,,74,,,,,72,,,,,,71,,,,,,,,,,,,,,,,76
name-value,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,78,,,77,,,,,,,,,,
value,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
